iter	Passed	Remaining
0	11	11422
1	15	7806
2	19	6337
3	23	5794
4	27	5461
5	31	5157
6	34	4940
7	38	4811
8	43	4796
9	47	4666
10	50	4538
11	54	4453
12	58	4423
13	62	4386
14	65	4321
15	71	4382
16	75	4387
17	79	4348
18	83	4293
19	86	4258
20	91	4252
21	94	4221
22	98	4171
23	101	4135
24	106	4158
25	110	4137
26	113	4097
27	117	4061
28	121	4060
29	125	4043
30	128	4019
31	131	3989
32	135	3980
33	140	3981
34	143	3963
35	147	3940
36	151	3934
37	155	3944
38	159	3932
39	162	3908
40	166	3890
41	171	3909
42	175	3906
43	179	3890
44	182	3874
45	187	3890
46	191	3885
47	195	3868
48	198	3852
49	202	3849
50	206	3840
51	209	3826
52	213	3810
53	217	3816
54	221	3812
55	225	3798
56	228	3783
57	232	3779
58	237	3782
59	253	3964
60	256	3951
61	260	3936
62	263	3920
63	267	3918
64	272	3915
65	275	3905
66	279	3888
67	284	3894
68	288	3892
69	292	3883
70	296	3875
71	300	3878
72	304	3872
73	308	3858
74	311	3844
75	316	3845
76	320	3845
77	324	3834
78	327	3820
79	331	3817
80	336	3812
81	339	3800
82	342	3787
83	347	3784
84	351	3780
85	354	3769
86	358	3757
87	361	3748
88	366	3750
89	370	3745
90	374	3737
91	378	3736
92	382	3734
93	386	3725
94	389	3714
95	393	3708
96	398	3709
97	402	3701
98	405	3691
99	409	3682
100	413	3683
101	417	3676
102	421	3667
103	424	3657
104	429	3657
105	433	3652
106	436	3642
107	439	3633
108	444	3630
109	448	3628
110	451	3619
111	455	3609
112	472	3705
113	477	3708
114	481	3707
115	485	3700
116	489	3692
117	494	3692
118	497	3686
119	501	3677
120	505	3668
121	509	3663
122	513	3660
123	516	3652
124	520	3642
125	524	3638
126	529	3642
127	533	3637
128	537	3630
129	542	3632
130	546	3627
131	550	3617
132	553	3608
133	557	3605
134	562	3603
135	566	3600
136	570	3592
137	574	3589
138	578	3586
139	582	3577
140	585	3569
141	590	3567
142	594	3564
143	598	3555
144	601	3546
145	605	3539
146	609	3535
147	612	3528
148	616	3518
149	619	3510
150	624	3508
151	627	3503
152	631	3495
153	634	3486
154	638	3482
155	642	3478
156	646	3470
157	649	3462
158	653	3456
159	657	3454
160	661	3446
161	664	3438
162	668	3430
163	672	3427
164	676	3424
165	680	3418
166	683	3411
167	688	3407
168	691	3402
169	695	3396
170	699	3389
171	703	3387
172	707	3382
173	711	3376
174	714	3368
175	718	3365
176	723	3364
177	727	3358
178	730	3350
179	734	3345
180	739	3344
181	742	3338
182	746	3331
183	749	3326
184	754	3324
185	758	3318
186	761	3311
187	765	3304
188	769	3301
189	773	3297
190	777	3292
191	780	3285
192	784	3282
193	789	3279
194	792	3272
195	796	3265
196	800	3261
197	804	3257
198	807	3252
199	811	3245
200	815	3240
201	819	3235
202	823	3231
203	826	3225
204	830	3221
205	834	3216
206	838	3212
207	842	3206
208	845	3200
209	849	3196
210	853	3192
211	857	3186
212	860	3179
213	864	3176
214	868	3171
215	873	3170
216	877	3164
217	881	3161
218	885	3157
219	888	3150
220	892	3144
221	895	3138
222	900	3137
223	904	3134
224	909	3132
225	913	3127
226	916	3120
227	920	3116
228	924	3113
229	928	3108
230	931	3102
231	935	3096
232	939	3092
233	943	3089
234	947	3083
235	950	3077
236	954	3074
237	958	3070
238	986	3140
239	996	3154
240	1007	3173
241	1015	3179
242	1028	3203
243	1037	3214
244	1048	3230
245	1057	3240
246	1063	3243
247	1069	3243
248	1073	3238
249	1077	3232
250	1080	3225
251	1086	3225
252	1091	3222
253	1095	3216
254	1099	3211
255	1104	3209
256	1108	3205
257	1112	3199
258	1116	3195
259	1121	3192
260	1125	3187
261	1129	3180
262	1134	3178
263	1141	3181
264	1149	3189
265	1159	3200
266	1165	3198
267	1170	3198
268	1174	3192
269	1179	3187
270	1184	3185
271	1188	3180
272	1192	3175
273	1196	3170
274	1202	3169
275	1205	3163
276	1209	3156
277	1213	3152
278	1218	3148
279	1222	3142
280	1225	3135
281	1229	3130
282	1234	3127
283	1237	3120
284	1241	3113
285	1245	3108
286	1249	3104
287	1253	3097
288	1256	3090
289	1259	3084
290	1264	3080
291	1268	3075
292	1271	3068
293	1275	3061
294	1279	3058
295	1283	3053
296	1287	3047
297	1290	3040
298	1295	3036
299	1298	3030
300	1302	3024
301	1305	3017
302	1309	3012
303	1314	3008
304	1317	3001
305	1320	2995
306	1324	2989
307	1328	2985
308	1332	2979
309	1335	2973
310	1339	2966
311	1343	2961
312	1347	2956
313	1350	2950
314	1353	2944
315	1357	2938
316	1361	2934
317	1365	2928
318	1369	2922
319	1372	2916
320	1376	2911
321	1380	2906
322	1384	2901
323	1387	2894
324	1391	2890
325	1396	2886
326	1399	2880
327	1402	2873
328	1406	2868
329	1410	2863
330	1413	2857
331	1417	2851
332	1420	2844
333	1424	2839
334	1427	2834
335	1430	2827
336	1434	2821
337	1437	2815
338	1441	2811
339	1445	2805
340	1448	2799
341	1452	2793
342	1457	2790
343	1460	2785
344	1464	2779
345	1467	2773
346	1471	2769
347	1475	2764
348	1478	2758
349	1482	2752
350	1485	2746
351	1504	2769
352	1520	2786
353	1524	2781
354	1527	2776
355	1531	2770
356	1535	2764
357	1539	2760
358	1542	2755
359	1546	2749
360	1549	2743
361	1554	2739
362	1558	2734
363	1561	2728
364	1564	2722
365	1568	2717
366	1573	2713
367	1576	2707
368	1580	2702
369	1583	2696
370	1588	2693
371	1592	2688
372	1595	2682
373	1599	2677
374	1603	2673
375	1607	2667
376	1611	2662
377	1614	2656
378	1618	2652
379	1622	2647
380	1626	2641
381	1629	2636
382	1633	2631
383	1640	2630
384	1643	2625
385	1647	2620
386	1651	2616
387	1655	2612
388	1659	2606
389	1662	2600
390	1667	2596
391	1671	2592
392	1675	2587
393	1678	2582
394	1683	2578
395	1687	2574
396	1691	2568
397	1694	2563
398	1698	2558
399	1703	2555
400	1707	2550
401	1710	2544
402	1715	2540
403	1732	2555
404	1736	2550
405	1739	2545
406	1742	2539
407	1746	2534
408	1750	2529
409	1754	2524
410	1757	2518
411	1761	2513
412	1765	2509
413	1769	2504
414	1772	2498
415	1776	2493
416	1791	2504
417	1794	2498
418	1799	2494
419	1802	2489
420	1806	2484
421	1809	2479
422	1814	2474
423	1817	2469
424	1821	2464
425	1825	2459
426	1829	2454
427	1833	2450
428	1836	2444
429	1840	2439
430	1844	2434
431	1848	2430
432	1852	2425
433	1855	2420
434	1859	2415
435	1868	2417
436	1872	2411
437	1875	2406
438	1880	2402
439	1883	2397
440	1887	2392
441	1890	2386
442	1894	2382
443	1898	2377
444	1902	2372
445	1905	2366
446	1909	2361
447	1914	2358
448	1918	2354
449	1921	2349
450	1925	2343
451	1929	2339
452	1933	2334
453	1937	2329
454	1941	2325
455	1945	2320
456	1949	2316
457	1953	2311
458	1957	2307
459	1961	2302
460	1965	2297
461	1969	2293
462	1972	2288
463	1978	2285
464	1982	2281
465	1986	2276
466	1990	2271
467	1995	2267
468	1998	2263
469	2011	2268
470	2015	2264
471	2019	2259
472	2023	2254
473	2028	2250
474	2032	2246
475	2035	2241
476	2040	2236
477	2044	2233
478	2048	2228
479	2052	2223
480	2056	2219
481	2061	2215
482	2065	2210
483	2068	2205
484	2073	2201
485	2077	2196
486	2081	2192
487	2084	2186
488	2088	2182
489	2092	2178
490	2096	2173
491	2100	2168
492	2104	2164
493	2109	2160
494	2113	2156
495	2116	2151
496	2121	2146
497	2125	2142
498	2128	2137
499	2132	2132
500	2135	2127
501	2140	2123
502	2143	2117
503	2146	2112
504	2150	2107
505	2154	2103
506	2158	2098
507	2161	2093
508	2165	2088
509	2169	2084
510	2173	2079
511	2177	2075
512	2181	2070
513	2185	2066
514	2189	2061
515	2193	2057
516	2196	2052
517	2200	2047
518	2207	2046
519	2211	2041
520	2214	2036
521	2219	2032
522	2224	2028
523	2229	2025
524	2233	2020
525	2236	2015
526	2240	2010
527	2261	2021
528	2265	2016
529	2268	2012
530	2272	2006
531	2277	2003
532	2281	1998
533	2284	1993
534	2288	1988
535	2292	1984
536	2296	1980
537	2300	1975
538	2304	1970
539	2309	1967
540	2314	1963
541	2317	1958
542	2321	1954
543	2328	1952
544	2332	1947
545	2336	1942
546	2341	1939
547	2346	1935
548	2350	1930
549	2353	1925
550	2359	1922
551	2362	1917
552	2366	1912
553	2370	1908
554	2381	1909
555	2385	1904
556	2389	1900
557	2394	1896
558	2398	1891
559	2401	1886
560	2406	1883
561	2411	1879
562	2414	1874
563	2418	1869
564	2423	1865
565	2427	1861
566	2430	1856
567	2434	1851
568	2439	1847
569	2444	1844
570	2448	1839
571	2452	1835
572	2457	1831
573	2461	1827
574	2465	1822
575	2470	1818
576	2474	1814
577	2478	1809
578	2481	1804
579	2486	1800
580	2490	1796
581	2493	1791
582	2497	1786
583	2501	1781
584	2506	1777
585	2509	1772
586	2512	1767
587	2516	1763
588	2521	1759
589	2525	1754
590	2528	1749
591	2533	1745
592	2537	1741
593	2540	1736
594	2544	1731
595	2548	1727
596	2552	1723
597	2556	1718
598	2559	1713
599	2562	1708
600	2567	1704
601	2571	1700
602	2574	1695
603	2578	1690
604	2582	1686
605	2586	1681
606	2589	1676
607	2593	1671
608	2596	1667
609	2601	1663
610	2605	1658
611	2608	1653
612	2611	1649
613	2616	1645
614	2620	1640
615	2624	1636
616	2628	1631
617	2632	1627
618	2636	1622
619	2639	1618
620	2643	1613
621	2647	1609
622	2651	1604
623	2655	1599
624	2658	1595
625	2662	1590
626	2666	1586
627	2670	1581
628	2673	1576
629	2676	1572
630	2681	1567
631	2684	1563
632	2688	1558
633	2691	1553
634	2696	1549
635	2700	1545
636	2703	1540
637	2707	1536
638	2711	1532
639	2715	1527
640	2718	1522
641	2722	1518
642	2726	1513
643	2746	1518
644	2750	1513
645	2753	1508
646	2756	1504
647	2761	1500
648	2765	1495
649	2768	1490
650	2772	1486
651	2777	1482
652	2781	1477
653	2784	1473
654	2788	1468
655	2792	1464
656	2796	1459
657	2800	1455
658	2803	1450
659	2807	1446
660	2812	1442
661	2815	1437
662	2819	1433
663	2823	1428
664	2828	1424
665	2832	1420
666	2836	1416
667	2840	1411
668	2845	1407
669	2848	1403
670	2852	1398
671	2856	1394
672	2861	1390
673	2865	1385
674	2868	1381
675	2873	1377
676	2878	1373
677	2881	1368
678	2885	1364
679	2891	1360
680	2895	1356
681	2898	1351
682	2902	1347
683	2907	1343
684	2911	1339
685	2915	1334
686	2919	1329
687	2924	1326
688	2928	1321
689	2932	1317
690	2937	1313
691	2942	1309
692	2946	1305
693	2950	1300
694	2956	1297
695	2960	1293
696	2963	1288
697	2967	1284
698	2973	1280
699	2977	1275
700	2980	1271
701	2984	1267
702	2990	1263
703	2994	1258
704	2997	1254
705	3002	1250
706	3023	1253
707	3027	1248
708	3031	1244
709	3037	1240
710	3042	1236
711	3045	1232
712	3049	1227
713	3055	1223
714	3059	1219
715	3062	1214
716	3067	1210
717	3088	1213
718	3092	1208
719	3096	1204
720	3101	1199
721	3105	1195
722	3109	1191
723	3113	1186
724	3119	1183
725	3123	1178
726	3127	1174
727	3131	1170
728	3137	1166
729	3141	1162
730	3145	1157
731	3151	1153
732	3155	1149
733	3159	1144
734	3163	1140
735	3169	1137
736	3173	1132
737	3177	1128
738	3183	1124
739	3187	1119
740	3190	1115
741	3194	1110
742	3199	1106
743	3202	1102
744	3206	1097
745	3209	1092
746	3214	1088
747	3218	1084
748	3221	1079
749	3225	1075
750	3230	1070
751	3235	1066
752	3238	1062
753	3241	1057
754	3246	1053
755	3250	1049
756	3254	1044
757	3258	1040
758	3263	1036
759	3267	1031
760	3271	1027
761	3276	1023
762	3282	1019
763	3286	1015
764	3290	1010
765	3295	1006
766	3300	1002
767	3304	998
768	3310	994
769	3315	990
770	3320	986
771	3323	981
772	3329	977
773	3333	973
774	3337	968
775	3342	964
776	3347	960
777	3350	956
778	3354	951
779	3358	947
780	3363	943
781	3366	938
782	3370	934
783	3375	929
784	3379	925
785	3383	921
786	3386	916
787	3391	912
788	3395	908
789	3398	903
790	3402	898
791	3406	894
792	3427	894
793	3431	890
794	3434	885
795	3438	881
796	3444	877
797	3448	872
798	3451	868
799	3456	864
800	3460	859
801	3463	855
802	3466	850
803	3471	846
804	3475	842
805	3479	837
806	3482	832
807	3486	828
808	3492	824
809	3495	820
810	3499	815
811	3503	811
812	3508	807
813	3512	802
814	3515	798
815	3519	793
816	3540	793
817	3543	788
818	3547	783
819	3550	779
820	3556	775
821	3560	770
822	3563	766
823	3567	761
824	3572	757
825	3575	753
826	3579	748
827	3582	744
