iter	Passed	Remaining
0	142	141960
1	146	73222
2	154	51428
3	159	39614
4	163	32492
5	169	28093
6	174	24774
7	179	22227
8	184	20362
9	189	18798
10	194	17462
11	199	16386
12	204	15520
13	208	14714
14	213	13999
15	219	13471
16	223	12908
17	227	12413
18	233	12044
19	238	11702
20	243	11332
21	247	11024
22	253	10773
23	257	10486
24	262	10221
25	268	10040
26	272	9814
27	276	9601
28	282	9443
29	287	9291
30	291	9118
31	296	8976
32	302	8862
33	306	8714
34	311	8580
35	317	8505
36	322	8387
37	326	8273
38	332	8188
39	336	8083
40	340	7974
41	347	7923
42	353	7856
43	357	7766
44	376	7994
45	383	7949
46	387	7857
47	392	7777
48	398	7726
49	402	7647
50	406	7571
51	411	7504
52	416	7443
53	421	7377
54	426	7319
55	430	7254
56	434	7192
57	438	7129
58	443	7072
59	447	7017
60	452	6971
61	457	6919
62	461	6868
63	466	6819
64	470	6771
65	475	6732
66	479	6683
67	484	6640
68	488	6595
69	498	6621
70	502	6577
71	507	6539
72	512	6502
73	516	6462
74	520	6423
75	525	6385
76	529	6353
77	534	6316
78	538	6280
79	543	6249
80	547	6216
81	552	6184
82	557	6157
83	561	6127
84	566	6097
85	571	6069
86	575	6043
87	580	6011
88	584	5985
89	589	5959
90	593	5931
91	598	5902
92	602	5877
93	607	5857
94	612	5833
95	616	5809
96	621	5786
97	625	5759
98	630	5734
99	634	5713
100	639	5690
101	643	5667
102	648	5644
103	652	5623
104	657	5605
105	661	5583
106	666	5565
107	671	5545
108	675	5525
109	680	5505
110	684	5485
111	689	5465
112	693	5444
113	698	5428
114	703	5411
115	707	5392
116	711	5373
117	716	5353
118	720	5336
119	725	5319
120	729	5302
121	734	5283
122	738	5266
123	743	5252
124	748	5237
125	752	5221
126	757	5204
127	761	5188
128	766	5172
129	771	5161
130	775	5145
131	780	5129
132	784	5114
133	789	5101
134	793	5085
135	798	5070
136	803	5059
137	807	5046
138	812	5030
139	816	5016
140	821	5002
141	825	4987
142	829	4973
143	834	4961
144	838	4945
145	842	4930
146	847	4915
147	851	4902
148	856	4889
149	860	4875
150	865	4865
151	869	4853
152	874	4839
153	878	4826
154	883	4815
155	887	4801
156	891	4787
157	895	4774
158	900	4761
159	904	4749
160	909	4737
161	913	4724
162	917	4712
163	922	4700
164	926	4688
165	930	4675
166	934	4663
167	939	4651
168	943	4640
169	948	4629
170	952	4618
171	957	4608
172	961	4596
173	965	4585
174	970	4575
175	974	4564
176	979	4554
177	983	4543
178	988	4533
179	992	4522
180	997	4511
181	1001	4500
182	1005	4490
183	1010	4480
184	1014	4470
185	1019	4460
186	1023	4449
187	1027	4438
188	1032	4428
189	1036	4418
190	1040	4408
191	1045	4398
192	1050	4391
193	1054	4381
194	1059	4371
195	1063	4362
196	1067	4351
197	1071	4341
198	1075	4330
199	1080	4322
200	1084	4312
201	1089	4302
202	1093	4293
203	1098	4284
204	1102	4275
205	1106	4264
206	1111	4257
207	1115	4247
208	1119	4238
209	1124	4230
210	1128	4221
211	1133	4211
212	1137	4203
213	1142	4196
214	1147	4188
215	1151	4179
216	1155	4170
217	1160	4161
218	1164	4152
219	1168	4143
220	1173	4134
221	1177	4125
222	1181	4116
223	1185	4108
224	1190	4098
225	1194	4090
226	1198	4081
227	1203	4073
228	1207	4065
229	1212	4057
230	1216	4048
231	1220	4040
232	1225	4032
233	1229	4024
234	1234	4017
235	1238	4009
236	1242	4001
237	1247	3993
238	1252	3987
239	1256	3980
240	1261	3972
241	1266	3965
242	1270	3957
243	1274	3949
244	1279	3943
245	1284	3936
246	1288	3928
247	1293	3921
248	1297	3913
249	1301	3905
250	1306	3897
251	1311	3892
252	1315	3884
253	1319	3876
254	1324	3869
255	1329	3862
256	1333	3854
257	1337	3847
258	1342	3841
259	1347	3835
260	1352	3828
261	1357	3823
