iter	Logloss
0	0.6811734651
1	0.6696365691
2	0.6593244134
3	0.6489988605
4	0.6389400299
5	0.6290450582
6	0.6205339585
7	0.6114760045
8	0.6024090689
9	0.5942844173
10	0.5864963309
11	0.5795093686
12	0.5723811317
13	0.5664441639
14	0.5589015652
15	0.5535600382
16	0.5483649045
17	0.5431049596
18	0.5369756831
19	0.5313002999
20	0.5273629049
21	0.5226898709
22	0.5182039923
23	0.5148052776
24	0.5112883281
25	0.5065825027
26	0.502838401
27	0.4996983656
28	0.4962260934
29	0.4922352779
30	0.4891015572
31	0.4861674224
32	0.4838018679
33	0.4800317379
34	0.47704626
35	0.4742661008
36	0.4720635342
37	0.4698103909
38	0.4677161045
39	0.4649744993
40	0.4619801069
41	0.4598646307
42	0.4581471429
43	0.4565240162
44	0.4541333505
45	0.4525358993
46	0.4506279615
47	0.4488200723
48	0.4470300076
49	0.4449220431
50	0.4433095733
51	0.4417610048
52	0.4396797341
53	0.4380243017
54	0.4366196873
55	0.4349620379
56	0.4333028869
57	0.4316270699
58	0.4303510062
59	0.429261329
60	0.4273279753
61	0.4255185482
62	0.424388646
63	0.4231938765
64	0.4221270744
65	0.4210780065
66	0.4199407798
67	0.4187124024
68	0.4175498207
69	0.4163360939
70	0.4153210142
71	0.4141684568
72	0.4128937467
73	0.4118347711
74	0.4106856284
75	0.4098229187
76	0.4089089237
77	0.4074141831
78	0.4060191907
79	0.4047916905
80	0.4038704063
81	0.4031094483
82	0.4023699856
83	0.4013918006
84	0.4007457274
85	0.3998920049
86	0.3988809241
87	0.3981146484
88	0.3970102629
89	0.3961377184
90	0.3955337487
91	0.3946214263
92	0.3940750453
93	0.3934237266
94	0.3924331251
95	0.3916916385
96	0.3908619873
97	0.3903024781
98	0.3895615248
99	0.3888684614
100	0.3879890534
101	0.3867870979
102	0.3859469373
103	0.3852208701
104	0.3847108446
105	0.3838453541
106	0.3832474724
107	0.3827217796
108	0.3821004693
109	0.3812758383
110	0.3806300007
111	0.3799392397
112	0.3793328351
113	0.3789282331
114	0.3784385938
115	0.3778660834
116	0.377191901
117	0.3763112572
118	0.3758908394
119	0.375240258
120	0.3745363593
121	0.3740127873
122	0.3733475961
123	0.3729250052
124	0.3722874541
125	0.3717313654
126	0.3711687368
127	0.3705498174
128	0.3700617863
129	0.3695090998
130	0.3688805619
131	0.3683981877
132	0.3678007491
133	0.3672493901
134	0.3666292512
135	0.3661962011
136	0.3656683637
137	0.3651661036
138	0.3648507111
139	0.3644253821
140	0.3638086083
141	0.3631171451
142	0.362576105
143	0.3622310905
144	0.3618077759
145	0.3612900176
146	0.3610680446
147	0.3606779624
148	0.3602604633
149	0.3598178342
150	0.3594878239
151	0.3590090783
152	0.3585003408
153	0.3578951866
154	0.357432172
155	0.3569376494
156	0.3565238492
157	0.3560918358
158	0.3556192364
159	0.3553865699
160	0.3551196496
161	0.3545598399
162	0.3540379184
163	0.3535757078
164	0.3529617791
165	0.3527178472
166	0.3522978232
167	0.3518834146
168	0.3514299252
169	0.3510835666
170	0.3508536935
171	0.350462432
172	0.3499911535
173	0.3495455177
174	0.3492016734
175	0.3488689364
176	0.3484797674
177	0.3481392385
178	0.3478316566
179	0.3474272571
180	0.3469513884
181	0.3464156253
182	0.3461422364
183	0.3456115029
184	0.3452477933
185	0.3447604986
186	0.3443999523
187	0.3440717216
188	0.3435681314
189	0.3430512173
190	0.3426724419
191	0.3424028499
192	0.3420759663
193	0.3417091211
194	0.3412705887
195	0.3407869939
196	0.3405678
197	0.3402971248
198	0.3399398686
199	0.3395262478
200	0.3390810552
201	0.3385764033
202	0.3381570496
203	0.3377842573
204	0.3374472347
205	0.3371683247
206	0.3367297271
207	0.3364645537
208	0.3360377585
209	0.3355759522
210	0.3353096367
211	0.3348251677
212	0.3345212266
213	0.3340054882
214	0.3337259978
215	0.3333097645
216	0.3328844433
217	0.3324975222
218	0.332288903
