iter	Passed	Remaining
0	161	161292
1	165	82459
2	169	56344
3	173	43282
4	177	35365
5	181	30053
6	186	26443
7	190	23665
8	194	21408
9	198	19607
10	203	18313
11	207	17077
12	211	16034
13	215	15167
14	220	14496
15	225	13852
16	229	13248
17	234	12806
18	238	12332
19	242	11883
20	246	11486
21	251	11164
22	254	10821
23	258	10505
24	261	10212
25	267	10004
26	270	9762
27	274	9528
28	278	9330
29	283	9171
30	287	8997
31	291	8820
32	296	8687
33	300	8545
34	304	8394
35	308	8254
36	312	8139
37	317	8038
38	322	7940
39	326	7840
40	331	7747
41	335	7642
42	338	7538
43	343	7456
44	347	7369
45	350	7275
46	354	7188
47	358	7118
48	363	7056
49	367	6982
50	371	6908
51	375	6851
52	380	6801
53	385	6745
54	388	6683
55	394	6651
56	399	6605
57	403	6554
58	408	6521
59	414	6495
60	419	6456
61	423	6413
62	428	6370
63	432	6332
64	436	6284
65	441	6250
66	445	6206
67	449	6160
68	453	6113
69	458	6085
70	462	6050
71	466	6006
72	469	5964
73	475	5944
74	479	5909
75	482	5868
76	486	5833
77	492	5816
78	496	5783
79	499	5746
80	504	5721
81	508	5697
82	513	5670
83	517	5640
84	522	5624
85	526	5596
86	532	5583
87	539	5587
88	543	5563
89	548	5541
90	554	5535
91	558	5514
92	562	5487
93	566	5461
94	571	5443
95	575	5420
96	579	5396
97	584	5382
98	589	5366
99	593	5344
100	597	5321
101	602	5307
102	607	5290
103	611	5269
104	616	5251
105	621	5239
106	625	5221
107	629	5200
108	635	5193
109	640	5179
110	644	5158
111	648	5140
112	653	5126
113	657	5108
114	661	5089
115	666	5079
116	672	5072
117	676	5054
118	680	5039
119	685	5025
120	690	5017
121	694	4997
122	699	4985
123	703	4971
124	707	4955
125	711	4936
126	717	4928
127	721	4915
128	725	4899
129	730	4885
130	752	4991
131	757	4978
132	761	4962
133	766	4954
134	770	4940
135	774	4921
136	780	4914
137	785	4905
138	789	4888
139	792	4870
140	798	4865
141	803	4857
142	808	4842
143	815	4850
144	820	4837
145	824	4821
146	830	4817
147	835	4808
148	839	4793
149	845	4789
150	850	4780
151	854	4767
152	858	4754
153	863	4744
154	868	4732
155	871	4716
156	877	4710
157	882	4701
158	886	4686
159	889	4672
160	895	4664
161	899	4653
162	903	4639
163	908	4629
164	912	4620
165	917	4607
166	920	4593
167	925	4584
168	930	4575
169	934	4563
170	939	4556
171	945	4550
172	950	4543
173	955	4534
174	960	4526
175	964	4514
176	968	4502
177	973	4493
178	978	4486
179	981	4473
180	986	4463
181	991	4457
182	996	4448
183	1000	4436
184	1005	4430
185	1010	4420
186	1013	4407
187	1017	4394
188	1022	4387
189	1026	4375
190	1029	4362
191	1034	4355
192	1040	4349
193	1044	4340
194	1048	4327
195	1053	4321
196	1057	4310
197	1061	4300
198	1066	4292
199	1071	4287
200	1076	4277
201	1079	4266
202	1085	4262
