iter	Passed	Remaining
0	148	148630
1	153	76708
2	158	52585
3	164	41059
4	170	33948
5	181	30118
6	186	26510
7	195	24193
8	199	22004
9	204	20285
10	212	19114
11	218	18029
12	224	17063
13	230	16248
14	235	15474
15	241	14826
16	263	15239
17	272	14847
18	278	14390
19	284	13928
20	291	13598
21	296	13189
22	303	12913
23	311	12655
24	316	12325
25	320	12018
26	327	11786
27	331	11523
28	340	11408
29	346	11219
30	352	11033
31	362	10957
32	367	10770
33	374	10652
34	380	10486
35	385	10314
36	392	10211
37	397	10056
38	402	9906
39	408	9811
40	414	9689
41	419	9560
42	425	9465
43	431	9373
44	436	9256
45	441	9160
46	446	9043
47	450	8944
48	457	8886
49	462	8788
50	467	8695
51	473	8629
52	477	8536
53	482	8451
54	488	8388
55	494	8329
56	498	8249
57	504	8189
58	508	8115
59	513	8050
60	518	7987
61	523	7918
62	527	7852
63	532	7786
64	537	7733
65	542	7671
66	546	7613
67	552	7565
68	556	7506
69	560	7448
70	564	7391
71	569	7344
72	574	7291
73	578	7242
74	583	7202
75	588	7153
76	593	7110
77	597	7066
78	602	7027
79	608	6994
80	613	6956
81	618	6922
82	623	6883
83	627	6845
84	633	6817
85	638	6786
86	643	6750
87	648	6720
88	653	6685
89	657	6651
90	662	6614
91	667	6586
92	671	6553
93	676	6524
94	682	6505
95	687	6476
96	692	6448
97	698	6427
98	703	6400
99	707	6367
100	713	6347
101	719	6332
102	724	6311
103	731	6298
104	735	6272
105	740	6246
106	748	6247
107	754	6228
108	760	6213
109	766	6201
110	771	6181
111	776	6157
112	781	6135
113	786	6109
114	791	6088
115	796	6072
116	801	6049
117	806	6025
118	812	6017
119	817	5994
120	822	5974
121	828	5961
122	833	5942
123	838	5924
124	844	5914
125	849	5891
126	854	5871
127	860	5860
128	865	5845
129	870	5823
130	875	5811
131	880	5792
132	885	5774
133	891	5762
134	897	5749
135	901	5728
136	906	5710
137	911	5695
138	916	5676
139	921	5659
140	927	5648
141	931	5630
142	936	5610
143	942	5605
144	948	5592
145	953	5579
146	960	5571
147	966	5565
148	975	5573
149	981	5563
150	986	5549
151	999	5577
152	1014	5616
153	1024	5630
154	1033	5633
155	1039	5626
156	1044	5610
157	1051	5602
158	1057	5592
159	1062	5576
160	1066	5558
161	1072	5546
162	1076	5529
163	1081	5510
164	1085	5491
165	1091	5484
166	1096	5468
167	1100	5451
168	1107	5443
169	1112	5430
170	1116	5414
171	1122	5403
172	1127	5389
173	1132	5374
174	1139	5372
175	1144	5358
176	1149	5344
177	1155	5337
178	1160	5321
179	1164	5304
180	1170	5297
181	1175	5282
182	1179	5265
183	1183	5250
184	1189	5239
185	1193	5225
186	1198	5211
187	1204	5200
188	1208	5186
189	1213	5173
190	1220	5169
191	1225	5157
192	1234	5160
193	1240	5154
194	1245	5142
195	1252	5137
196	1257	5124
197	1261	5110
198	1266	5098
199	1271	5085
200	1275	5071
201	1280	5058
202	1285	5045
203	1289	5032
204	1293	5017
205	1298	5006
206	1303	4992
207	1307	4977
208	1311	4963
209	1316	4954
210	1322	4943
211	1327	4933
212	1332	4922
213	1337	4911
214	1341	4898
215	1348	4894
216	1354	4885
217	1359	4876
218	1367	4877
219	1379	4892
220	1386	4887
221	1395	4888
222	1400	4880
223	1406	4870
224	1412	4863
225	1417	4854
226	1423	4846
227	1430	4842
228	1435	4832
229	1442	4829
230	1448	4821
231	1453	4811
232	1460	4806
233	1466	4801
234	1471	4791
235	1477	4783
236	1482	4773
237	1489	4770
238	1496	4763
239	1501	4754
240	1508	4750
241	1514	4743
242	1520	4735
243	1525	4726
244	1530	4716
245	1538	4714
246	1544	4708
247	1550	4700
248	1555	4691
249	1560	4682
250	1565	4671
251	1570	4661
252	1575	4651
253	1580	4641
254	1584	4630
255	1589	4619
256	1593	4606
257	1597	4594
258	1601	4581
259	1605	4570
260	1610	4558
261	1614	4547
262	1619	4539
263	1624	4529
264	1629	4518
265	1633	4508
266	1639	4501
267	1645	4493
268	1649	4483
269	1655	4476
270	1660	4466
271	1664	4455
272	1669	4446
273	1675	4439
274	1680	4431
275	1687	4426
276	1693	4421
277	1699	4412
278	1704	4404
279	1709	4395
280	1714	4386
281	1719	4378
282	1724	4369
283	1729	4360
284	1736	4355
285	1741	4347
286	1746	4338
287	1752	4332
288	1757	4323
289	1762	4315
290	1768	4308
291	1773	4300
292	1778	4291
293	1785	4286
294	1790	4277
295	1795	4271
296	1802	4265
297	1808	4260
298	1814	4253
299	1820	4246
300	1824	4238
301	1829	4228
302	1834	4220
303	1838	4210
304	1843	4199
305	1847	4189
306	1851	4179
307	1855	4169
308	1860	4160
309	1865	4151
310	1869	4141
311	1873	4131
312	1878	4122
313	1882	4113
314	1887	4103
315	1891	4093
316	1896	4086
317	1909	4094
318	1920	4100
319	1927	4096
320	1937	4098
321	1943	4091
322	1949	4086
323	1955	4079
324	1960	4072
325	1966	4066
326	1972	4060
327	1983	4064
328	1992	4064
329	2014	4090
330	2019	4082
331	2024	4073
332	2029	4065
333	2034	4056
334	2038	4047
335	2043	4038
336	2048	4029
337	2052	4020
338	2057	4011
339	2062	4003
340	2066	3994
341	2071	3986
342	2078	3981
343	2083	3972
344	2087	3963
345	2094	3959
346	2100	3951
347	2105	3944
348	2110	3936
349	2114	3927
350	2119	3919
351	2126	3914
352	2131	3907
353	2136	3899
354	2142	3892
355	2147	3884
356	2152	3876
357	2157	3869
358	2162	3861
359	2167	3853
360	2171	3844
361	2176	3836
362	2181	3827
363	2185	3818
364	2191	3812
365	2196	3804
366	2200	3795
367	2205	3787
368	2210	3779
369	2214	3771
370	2219	3762
371	2223	3754
372	2228	3745
373	2232	3736
374	2237	3729
375	2242	3722
376	2247	3714
377	2253	3707
378	2258	3701
379	2263	3693
380	2268	3685
381	2274	3679
382	2279	3672
