iter	Passed	Remaining
0	17	3512
1	31	3140
2	40	2651
3	62	3067
4	89	3509
5	99	3216
6	125	3463
7	155	3738
8	170	3619
9	194	3689
10	215	3704
11	227	3557
12	240	3456
13	258	3432
14	291	3595
15	325	3743
16	342	3691
17	374	3785
18	412	3927
19	475	4280
20	505	4308
21	528	4275
22	542	4175
23	549	4031
24	558	3908
25	564	3776
26	572	3666
27	577	3545
28	584	3448
29	589	3342
30	595	3248
31	602	3160
32	605	3066
33	610	2980
34	633	2988
35	656	2992
36	692	3050
37	735	3137
38	787	3251
39	805	3222
40	836	3244
41	867	3265
42	889	3248
43	904	3207
44	934	3220
45	946	3168
46	956	3114
47	996	3156
48	1016	3132
49	1023	3070
50	1036	3029
51	1053	2997
52	1064	2951
53	1072	2900
54	1084	2860
55	1090	2804
56	1102	2764
57	1112	2723
58	1120	2677
59	1138	2656
60	1151	2623
61	1158	2579
62	1167	2537
63	1179	2506
64	1185	2463
65	1196	2428
66	1202	2386
67	1215	2359
68	1220	2316
69	1228	2281
70	1233	2240
71	1241	2207
72	1246	2167
73	1250	2129
74	1257	2096
75	1262	2059
76	1266	2022
77	1271	1989
78	1276	1954
79	1280	1921
80	1284	1887
81	1290	1857
82	1294	1825
83	1298	1792
84	1303	1763
85	1307	1733
86	1311	1702
87	1314	1673
88	1321	1648
89	1325	1620
90	1329	1592
91	1332	1564
92	1340	1541
93	1343	1515
94	1346	1488
95	1350	1462
96	1356	1440
97	1360	1415
98	1363	1390
99	1369	1369
100	1372	1345
101	1376	1322
102	1379	1299
103	1387	1280
104	1391	1259
105	1395	1237
106	1402	1218
107	1406	1197
108	1409	1176
109	1413	1156
110	1420	1139
111	1423	1118
112	1426	1098
113	1429	1078
114	1434	1060
115	1437	1041
116	1440	1022
117	1443	1003
118	1446	984
119	1451	967
120	1455	950
121	1458	932
122	1461	914
123	1467	899
124	1470	882
125	1474	865
126	1477	849
127	1483	834
128	1486	818
129	1489	802
130	1492	786
131	1497	771
132	1500	755
133	1503	740
134	1506	725
135	1509	710
136	1513	695
137	1517	681
138	1520	667
139	1524	653
140	1527	639
141	1531	625
142	1535	611
143	1538	598
144	1541	584
145	1545	571
146	1550	558
147	1554	546
148	1557	533
149	1562	520
150	1565	508
151	1568	495
152	1571	482
153	1574	470
154	1579	458
155	1582	446
156	1585	434
157	1588	422
158	1591	410
159	1595	398
160	1598	387
161	1601	375
162	1604	364
163	1612	353
164	1615	342
165	1618	331
166	1620	320
167	1626	309
168	1629	298
169	1632	288
170	1635	277
171	1638	266
172	1668	260
173	1671	249
174	1677	239
175	1680	229
176	1683	218
177	1686	208
178	1692	198
179	1695	188
180	1698	178
181	1701	168
182	1707	158
183	1711	148
184	1714	139
185	1717	129
186	1722	119
187	1725	110
188	1728	100
189	1731	91
190	1733	81
191	1737	72
192	1741	63
193	1744	53
194	1747	44
195	1749	35
196	1754	26
197	1758	17
198	1761	8
199	1764	0
2299	11
199	2302	0
3521	0

3871	0
	0
