iter	Logloss
0	0.6448272276
1	0.6052232224
2	0.57239038
3	0.5376420926
4	0.5054229708
5	0.4847796945
6	0.4616279974
7	0.4417879083
8	0.4220161831
9	0.4067022833
10	0.3926745934
11	0.382118631
12	0.3726593798
13	0.3641863341
14	0.353955368
15	0.3435468686
16	0.3382500902
17	0.3319555587
18	0.3269902271
19	0.3219256831
20	0.3160961505
21	0.3105435562
22	0.3052191954
23	0.3017873566
24	0.2976835274
25	0.2946810453
26	0.2914166948
27	0.287619186
28	0.2850771887
29	0.2826263921
30	0.279988355
31	0.2769439204
32	0.2748124899
33	0.2733154284
34	0.2720425701
35	0.2700858562
36	0.267435937
37	0.2658411775
38	0.2637922716
39	0.2618058991
40	0.2593943371
41	0.2577195038
42	0.2552080652
43	0.2542245522
44	0.2534190231
45	0.2524208998
46	0.2509272623
47	0.2501012448
48	0.2482487584
49	0.2475654546
50	0.2457428044
51	0.2438985903
52	0.2424800399
53	0.2404033544
54	0.2397734553
55	0.2389711134
56	0.2382385019
57	0.2367859932
58	0.2358032045
59	0.2341806183
60	0.2330617959
61	0.23136918
62	0.2304257072
63	0.2298455578
64	0.2283962628
65	0.2270985456
66	0.2253410131
67	0.2239028295
68	0.2232706852
69	0.2222645794
70	0.221118673
71	0.220546672
72	0.2191691146
73	0.2176973933
74	0.2163282278
75	0.2158823272
76	0.2148560551
77	0.2136858209
78	0.213038933
79	0.2124525587
80	0.2115748133
81	0.2106952359
82	0.2093950418
83	0.2090362629
84	0.2082291477
85	0.2074760048
86	0.2069279434
87	0.206602618
88	0.2055708059
89	0.2049247851
90	0.204278967
91	0.2036977966
92	0.2025515567
93	0.2017215308
94	0.2008520287
95	0.1998694677
96	0.1990123632
97	0.1988058554
98	0.1978739169
99	0.196895932
100	0.1963915886
101	0.1955549134
102	0.1942899779
103	0.1930105734
104	0.1924868259
105	0.1917201628
106	0.1905504904
107	0.1896454412
108	0.1888193594
109	0.18817984
110	0.1877481211
111	0.1873933805
112	0.1868396967
113	0.1863589226
114	0.1861968745
115	0.1857820941
116	0.184620059
117	0.1830789912
118	0.182641347
119	0.1820371072
120	0.1815639304
121	0.181296568
122	0.1809010541
123	0.1798949799
124	0.179453405
125	0.1792106729
126	0.1787514207
127	0.1781112976
128	0.1771546975
129	0.1769139641
130	0.1761213961
131	0.1753022552
132	0.1741320866
133	0.1736548867
134	0.1727867228
135	0.1723240177
136	0.1721336423
137	0.1716776586
138	0.1711558727
139	0.1706678503
140	0.1698216636
141	0.1692899895
142	0.1683678772
143	0.1681107221
144	0.1673041565
145	0.1670987322
146	0.1668531173
147	0.1663035878
148	0.1658315859
149	0.165174979
150	0.1646294837
151	0.1642371259
152	0.1634970307
153	0.1624903099
154	0.1622036456
155	0.1617856531
156	0.1616605813
157	0.1607425202
158	0.1599194941
159	0.1596077737
160	0.1590112625
161	0.1584600345
162	0.1581437103
163	0.1574865623
164	0.1571027271
165	0.1566228987
166	0.1559383258
167	0.1550100061
168	0.1538586188
169	0.1534931423
170	0.1527223204
171	0.1522524193
172	0.1512535524
173	0.1510487606
174	0.1508042714
175	0.1497789011
176	0.1494194299
177	0.1489534572
178	0.1483508558
179	0.1476736119
180	0.1468325482
181	0.1464294537
182	0.1457642295
183	0.1449928339
184	0.1437082057
185	0.1431084653
186	0.1426454798
187	0.1422368295
188	0.1420826868
189	0.1416244377
190	0.1411157421
191	0.1405235254
192	0.1398725724
193	0.1394182937
194	0.1384135751
195	0.137919677
196	0.1376165693
197	0.136532366
198	0.1361340414
199	0.1359959981
85
9
198	0.08212596204
199	0.0812107876
.05223319148
199	0.0517674906
0278027841
198	0.02764782932
199	0.02738778421
