iter	Passed	Remaining
0	40	7991
1	103	10216
2	153	10090
3	197	9668
4	286	11182
5	326	10559
6	405	11182
7	491	11785
8	608	12918
9	694	13188
10	766	13168
11	800	12548
12	854	12295
13	914	12149
14	970	11974
15	1034	11895
16	1087	11710
17	1119	11320
18	1170	11145
19	1220	10982
20	1273	10851
21	1330	10762
22	1371	10556
23	1416	10388
24	1481	10371
25	1523	10194
26	1559	9994
27	1601	9839
28	1643	9692
29	1681	9527
30	1720	9377
31	1741	9145
32	1800	9109
33	1833	8951
34	1882	8874
35	1908	8695
36	1941	8553
37	1976	8426
38	2001	8262
39	2030	8121
40	2050	7950
41	2089	7860
42	2125	7760
43	2160	7659
44	2178	7502
45	2208	7393
46	2231	7265
47	2257	7147
48	2285	7044
49	2303	6909
50	2324	6791
51	2338	6655
52	2347	6509
53	2357	6373
54	2368	6244
55	2377	6112
56	2385	5984
57	2393	5859
58	2404	5746
59	2412	5629
60	2421	5517
61	2429	5408
62	2440	5306
63	2450	5206
64	2458	5106
65	2466	5008
66	2474	4911
67	2483	4820
68	2490	4729
69	2501	4646
70	2509	4559
71	2517	4476
72	2526	4394
73	2537	4320
74	2543	4239
75	2552	4163
76	2559	4088
77	2567	4015
78	2574	3943
79	2583	3874
80	2589	3804
81	2597	3737
82	2604	3671
83	2612	3607
84	2619	3544
85	2626	3481
86	2634	3421
87	2641	3361
88	2649	3303
89	2657	3247
90	2666	3194
91	2675	3140
92	2684	3088
93	2692	3035
94	2700	2985
95	2708	2933
96	2716	2884
97	2723	2834
98	2731	2787
99	2739	2739
100	2747	2692
101	2754	2646
102	2764	2603
103	2771	2558
104	2782	2517
105	2789	2473
106	2798	2432
107	2805	2390
108	2814	2349
109	2820	2307
110	2828	2268
111	2836	2228
112	2844	2190
113	2851	2151
114	2860	2114
115	2867	2076
116	2874	2039
117	2882	2002
118	2890	1967
119	2897	1931
120	2903	1895
121	2912	1861
122	2918	1826
123	2928	1795
124	2936	1761
125	2943	1728
126	2951	1696
127	2959	1664
128	2966	1632
129	2975	1602
130	2982	1570
131	2990	1540
132	2998	1510
133	3006	1480
134	3013	1450
135	3021	1421
136	3029	1393
137	3038	1365
138	3045	1336
139	3054	1309
140	3061	1281
141	3070	1254
142	3077	1226
143	3086	1200
144	3092	1173
145	3100	1146
146	3108	1120
147	3114	1094
148	3123	1068
149	3130	1043
150	3139	1018
151	3146	993
152	3155	969
153	3163	945
154	3171	920
155	3178	896
156	3186	872
157	3194	849
158	3202	825
159	3209	802
160	3218	779
161	3226	756
162	3235	734
163	3242	711
164	3251	689
165	3259	667
166	3268	645
167	3274	623
168	3283	602
169	3291	580
170	3299	559
171	3306	538
172	3314	517
173	3321	496
174	3329	475
175	3336	454
176	3342	434
177	3349	413
178	3355	393
179	3365	373
180	3372	354
181	3380	334
182	3387	314
183	3395	295
184	3403	275
185	3411	256
186	3418	237
187	3425	218
188	3433	199
189	3440	181
190	3446	162
191	3453	143
192	3460	125
193	3467	107
194	3473	89
195	3481	71
196	3487	53
197	3494	35
198	3501	17
199	3509	0
197	51
199	10206	0
99	10803	0
