iter	Passed	Remaining
0	120	2395711	270	26794
2	482	31667
3	501	24566
4	630	24576
5	766	24769
6	852	23504
7	949	22795
8	1066	22627
9	1166	22166
10	1195	20542
11	1397	21889
12	12	1840	26113	1562	20755114	1674	20652115	1783	20506116	2028	21838
17	2058	20815118	18	2569	2419	2778	25002
20	2906	24777
21	3009	24350
22	3093	23802
23	3316	24319
24	3525	24676
25	3638	24351
26	3722	23850
27	3746	23013
28	3825	22556
29	3903	22121
30	3971	21652
31	4063	21331
32	4150	21005
33	4232	20665
34	4309	20316
35	4377	19941
36	4439	19559
37	4497	19173
38	4560	18825
39	4622	18489
40	4693	18199
41	4717	17745
42	4736	17295
43	4757	16868
44	4832	16645
45	4898	16397
46	4940	16083
47	4986	15791
48	5012	15445
49	5054	15162
50	5104	14912
51	5145	14645
52	5164	14324
53	5179	14003
54	5189	13680
55	5201	13375
56	5212	13078
57	5221	12784
58	5234	12509
59	5250	12250
60	5264	11996
61	5277	162	5449	11849
63	5468	11620
64	5498	11419
65	55265	5094	66	55466	5118	67	55667	5154	68	55868	5174	69	5669	5214	970	570	5235	9571	71	5257	9347272	5271	9177373	5297	9027474	5315	8857575	5336	87076	5792	9253
77	5815	9095
78	5846	8954
79	5879	8819
80	5903	8672
81	5922	8522
82	5954	8394
83	5974	8250
84	6000	8117
85	6024	7985
86	6049	7857
87	6071	7726
88	6095	7602
89	6120	7480
90	6137	7351
91	6163	7235
92	6184	7115
93	6203	6995
94	6223	6878
95	6250	6771
96	6280	6669
97	6310	6567
98	6334	6462
99	6364	6364
100	6393	6267
101	6419	6167
102	6460	6084
103	6479	5980
104	6500	5881
105	6527	5788
106	6554	5697
107	6573	5599
108	6592	5503
109	6615	5413
110	6639	5323
111	6659	5232
112	6682	5145
113	6701	5055
114	6742	4983
115	6785	4913
116	6817	4836
117	6849	4759
118	6903	4699
119	6921	4614
120	6949	4537
121	6976	4460
122	6997	4380
123	7029	4308
124	7057	4234
125	7076	4155
126	7089	4075
127	7099	3993
128	7109	3913
129	7117	3832
13130	6703	35313131	6759	3481
132	6797	3424
133	6807	3352
134	6816	3281
135	6829	3213
1136	7119	32741137	7158	32161138	7186	31531139	7207	30891140	7231	30251141	7253	29621142	7268	28971143	7290	28351144	7313	27731145	7337	27131146	7359	2653147	7125	2503
148	7145	2445
149	7168	2389
150	7204	2337
151	7232	2284
152	7255	2228
153	7293	2178
154	7313	2123
155	7329	2067
1156	7630	20891157	7655	20351158	7676	1979159	7425	1856
160	7445	1803
1161	7747	1817162	7503	1703
163	7528	1652
1164	7829	16601165	7843	16061166	7863	15531167	7879	1500168	7625	1398
169	7644	1349
170	7662	1299
171	7679	1250
172	7694	1200
173	7711	1152
174	7726	1103
175	7743	1055
176	7765	1009
177	7776	961
178	7793	914
179	7811	867
180	7831	822
181	7847	776
182	7858	730
183	7870	684
184	7880	638
185	7891	593
186	7903	549
187	7915	505
188	7926	461
189	7936	417
190	7946	374
191	7957	331
192	7969	289
193	7983	246
194	7990	204
195	7997	163
196	8004	121
197	8011	80
198	8018	40
199	8025	0

490
192	11794	427
193	11811	365
194	11831	303
195	11853	241
196	11871	180
197	11889	120
198	11920	59
199	11932	0
63
195	18116	369
196	18140	276
197	18167	183
198	18186	91
199	18208	0

198	21861	109
199	21882	0
