iter	Passed	Remaining
0	84	16759
1	109	10847
2	137	9041
3	183	8999
4	217	8469
5	272	8817
6	350	9674
7	410	9846
8	441	9370
9	470	8940
10	535	9198
11	604	9474
12	648	9332
13	698	9285
14	735	9075
15	762	8768
16	805	8674
17	827	8371
18	850	8104
19	881	7934
20	926	7900
21	958	7756
22	1012	7792
23	1072	7862
24	1094	7664
25	1149	7690
26	1188	7616
27	1207	7419
28	1235	7283
29	1257	7123
30	1296	7065
31	1317	6914
32	1334	6754
33	1354	6613
34	1371	6466
35	1388	6325
36	1407	6198
37	1422	6064
38	1440	5944
39	1457	5828
40	1471	5705
41	1487	5596
42	1501	5480
43	1515	5373
44	1530	5271
45	1538	5150
46	1559	5075
47	1585	5020
48	1599	4929
49	1613	4840
50	1630	4764
51	1650	4698
52	1665	4619
53	1686	4559
54	1698	4478
55	1712	4404
56	1730	4341
57	1753	4294
58	1776	4246
59	1788	4173
60	1802	4108
61	1816	4043
62	1828	3975
63	1839	3909
64	1849	3840
65	1859	3775
66	1871	3714
67	1896	3681
68	1907	3621
69	1920	3566
70	1933	3513
71	1947	3462
72	1956	3404
73	1969	3354
74	1985	3308
75	1995	3256
76	2004	3201
77	2014	3150
78	2025	3101
79	2033	3050
80	2043	3002
81	2051	2952
82	2060	2904
83	2069	2857
84	2078	2811
85	2088	2768
86	2097	2723
87	2105	2680
88	2113	2635
89	2123	2595
90	2131	2552
91	2140	2512
92	2146	2469
93	2156	2431
94	2162	2390
95	2172	2353
96	2181	2316
97	2189	2278
98	2198	2242
99	2205	2205
100	2213	2169
101	2221	2134
102	2228	2098
103	2237	2065
104	2245	2031
105	2254	1998
106	2261	1965
107	2271	1934
108	2278	1902
109	2286	1871
110	2294	1839
111	2302	1809
112	2309	1778
113	2318	1749
114	2325	1718
115	2333	1689
116	2341	1661
117	2351	1634
118	2362	1607
119	2371	1581
120	2382	1555
121	2391	1528
122	2401	1503
123	2411	1477
124	2421	1452
125	2434	1429
126	2444	1405
127	2453	1380
128	2461	1354
129	2471	1330
130	2481	1307
131	2492	1283
132	2501	1260
133	2508	1235
134	2517	1212
135	2525	1188
136	2535	1165
137	2542	1142
138	2551	1119
139	2559	1096
140	2567	1074
141	2575	1052
142	2583	1029
143	2592	1008
144	2599	986
145	2607	964
146	2615	942
147	2623	921
148	2631	900
149	2638	879
150	2647	859
151	2656	838
152	2664	818
153	2673	798
154	2680	778
155	2687	758
156	2695	738
157	2702	718
158	2710	698
159	2717	679
160	2724	660
161	2732	640
162	2739	621
163	2747	603
164	2754	584
165	2763	566
166	2772	547
167	2779	529
168	2788	511
169	2795	493
170	2804	475
171	2811	457
172	2819	439
173	2826	422
174	2833	404
175	2841	387
176	2848	370
177	2856	353
178	2864	336
179	2872	319
180	2879	302
181	2887	285
182	2894	268
183	2902	252
184	2910	235
185	2918	219
186	2925	203
187	2933	187
188	2940	171
189	2947	155
190	2955	139
191	2964	123
192	2976	107
193	2986	92
194	2998	76
195	3010	61
196	3023	46
197	3032	30
198	3040	15
199	3050	0
7	7795	78
198	7816	39
199	7837	0

198	8888	44
199	8904	0
6
199	9284	0

