iter	Passed	Remaining
0	12	2550
1	24	2460
2	35	2362
3	50	2455
4	63	2477
5	89	2880
6	111	3065
7	125	3009
8	139	2960
9	151	2874
10	161	2775
11	170	2673
12	176	2543
13	195	2591
14	205	2534
15	213	2454
16	229	2473
17	246	2495
18	259	2467
19	270	2438
20	291	2481
21	325	2635
22	344	2654
23	373	2741
24	399	2794
25	410	2749
26	425	2725
27	434	2670
28	446	2633
29	453	2572
30	495	2699
31	507	2664
32	554	2807
33	567	2770
34	574	2706
35	579	2640
36	584	2576
37	589	2514
38	598	2471
39	619	2477
40	625	2424
41	631	2374
42	637	2327
43	640	2272
44	644	2218
45	648	2169
46	653	2126
47	657	2083
48	665	2051
49	669	2009
50	673	1967
51	678	1931
52	683	1894
53	687	1858
54	691	1822
55	698	1796
56	702	1763
57	706	1730
58	711	1701
59	716	1672
60	720	1641
61	723	1611
62	727	1582
63	732	1557
64	736	1529
65	739	1502
66	743	1476
67	748	1452
68	752	1427
69	755	1403
70	759	1380
71	763	1357
72	766	1334
73	770	1312
74	774	1290
75	779	1271
76	783	1250
77	786	1229
78	789	1209
79	793	1190
80	797	1171
81	800	1152
82	803	1133
83	807	1114
84	811	1097
85	814	1080
86	818	1063
87	821	1045
88	826	1030
89	830	1014
90	833	998
91	836	982
92	840	966
93	844	952
94	847	936
95	850	921
96	853	906
97	858	893
98	862	879
99	865	865
100	869	851
101	874	840
102	894	842
103	897	828
104	900	814
105	902	800
106	905	787
107	909	774
108	912	761
109	915	748
110	917	736
111	920	723
112	924	711
113	927	699
114	929	687
115	932	675
116	935	663
117	938	652
118	942	641
119	945	630
120	948	619
121	952	608
122	955	598
123	958	587
124	961	577
125	964	566
126	967	556
127	970	545
128	972	535
129	975	525
130	978	515
131	981	505
132	984	495
133	986	486
134	989	476
135	992	466
136	994	457
137	997	448
138	1000	439
139	1003	430
140	1005	420
141	1008	411
142	1010	402
143	1013	394
144	1016	385
145	1020	377
146	1023	368
147	1025	360
148	1028	351
149	1030	343
150	1033	335
151	1036	327
152	1039	319
153	1041	311
154	1044	303
155	1046	295
156	1049	287
157	1052	279
158	1054	271
159	1057	264
160	1059	256
161	1061	249
162	1064	241
163	1067	234
164	1070	227
165	1072	219
166	1075	212
167	1077	205
168	1080	198
169	1082	191
170	1085	184
171	1088	177
172	1090	170
173	1092	163
174	1095	156
175	1098	149
176	1100	143
177	1103	136
178	1105	129
179	1108	123
180	1110	116
181	1113	110
182	1116	103
183	1119	97
184	1121	90
185	1123	84
186	1125	78
187	1128	72
188	1131	65
189	1134	59
190	1136	53
191	1138	47
192	1141	41
193	1143	35
194	1146	29
195	1149	23
196	1151	17
197	1154	11
198	1156	5
199	1159	0
188	2512	146
189	2516	132
190	2519	118
191	2522	105
192	2526	91
193	2529	78
194	2533	64
195	2536	51
196	2539	38
197	2547	25
198	2550	12
199	2553	0

10	0
