iter	Passed	Remaining
0	161	161712
1	165	82516
2	169	56194
3	173	43131
4	176	35187
5	180	29848
6	183	26039
7	187	23299
8	191	21109
9	195	19320
10	198	17840
11	202	16654
12	206	15660
13	209	14766
14	212	13984
15	216	13301
16	220	12742
17	224	12227
18	227	11748
19	230	11310
20	234	10943
21	238	10619
22	242	10290
23	245	9991
24	249	9730
25	254	9524
26	258	9299
27	261	9079
28	264	8869
29	269	8707
30	273	8537
31	276	8368
32	279	8202
33	283	8066
34	288	7944
35	291	7810
36	294	7676
37	298	7560
38	302	7457
39	306	7349
40	309	7239
41	313	7139
42	317	7057
43	320	6971
44	324	6879
45	327	6792
46	331	6714
47	335	6651
48	338	6577
49	342	6501
50	345	6430
51	349	6376
52	353	6316
53	356	6252
54	360	6189
55	364	6137
56	368	6097
57	372	6043
58	375	5987
59	378	5937
60	383	5903
61	388	5871
62	391	5824
63	395	5781
64	399	5746
65	403	5704
66	406	5658
67	409	5616
68	414	5587
69	417	5550
70	421	5510
71	424	5471
72	428	5438
73	432	5410
74	435	5374
75	439	5338
76	442	5304
77	446	5280
78	450	5251
79	453	5219
80	457	5186
81	461	5163
82	465	5139
83	468	5110
84	471	5080
85	475	5053
86	480	5040
87	483	5014
88	487	4986
89	490	4960
90	495	4945
91	498	4923
92	502	4898
93	505	4872
94	510	4859
95	514	4842
96	517	4819
97	521	4797
98	527	4802
99	532	4788
100	536	4771
101	540	4754
102	546	4759
103	550	4738
104	553	4719
105	559	4714
106	564	4707
107	567	4690
108	573	4687
109	579	4686
110	582	4667
111	586	4650
112	592	4649
113	596	4637
114	600	4621
115	604	4609
116	612	4621
117	616	4606
118	620	4590
119	626	4594
120	630	4582
121	634	4568
122	645	4602
123	649	4586
124	653	4573
125	658	4568
126	662	4553
127	666	4539
128	671	4535
129	676	4525
130	679	4509
131	683	4493
132	689	4493
133	693	4480
134	696	4464
135	700	4448
136	705	4445
137	709	4432
138	713	4417
139	716	4403
140	722	4399
141	727	4392
142	731	4381
143	736	4380
144	741	4374
145	745	4361
146	749	4350
147	755	4351
148	760	4341
149	763	4328
150	769	4328
151	773	4316
152	777	4302
153	780	4289
154	786	4285
155	790	4277
156	793	4263
157	797	4252
158	803	4248
159	806	4234
160	809	4220
161	813	4208
162	819	4206
163	822	4193
164	826	4181
165	829	4169
166	835	4166
167	839	4155
168	842	4143
169	846	4132
170	851	4129
171	855	4118
172	859	4106
173	863	4099
174	868	4096
175	872	4084
176	875	4072
177	880	4065
178	884	4058
179	888	4046
180	891	4034
181	895	4026
182	901	4022
183	905	4013
184	908	4003
185	913	3997
186	918	3991
187	922	3982
188	925	3972
189	931	3972
190	936	3966
191	939	3955
192	944	3947
193	949	3943
194	952	3933
195	956	3924
196	961	3919
197	966	3914
198	970	3904
199	973	3893
200	978	3887
201	982	3881
202	986	3871
203	989	3861
204	994	3856
205	998	3849
206	1002	3838
207	1005	3828
208	1009	3821
209	1014	3814
210	1017	3805
211	1021	3796
212	1025	3790
213	1030	3785
214	1033	3775
215	1037	3765
216	1042	3759
217	1046	3754
218	1050	3745
219	1053	3735
220	1058	3731
221	1063	3726
222	1066	3716
223	1070	3707
224	1074	3701
225	1078	3695
226	1082	3685
227	1085	3676
228	1090	3671
229	1094	3664
230	1098	3655
231	1101	3646
232	1106	3642
233	1111	3640
234	1115	3632
235	1119	3625
236	1125	3623
237	1129	3614
238	1132	3605
239	1136	3597
240	1141	3594
241	1144	3585
242	1148	3576
243	1151	3568
244	1156	3564
245	1160	3556
246	1163	3547
247	1166	3538
248	1171	3533
249	1175	3526
250	1178	3517
251	1182	3508
252	1186	3502
253	1190	3496
254	1194	3488
255	1197	3480
256	1202	3475
257	1206	3470
258	1210	3462
259	1213	3453
260	1219	3451
261	1223	3445
262	1226	3437
263	1230	3429
264	1234	3424
265	1238	3418
266	1242	3410
267	1245	3402
268	1249	3396
269	1255	3394
270	1258	3386
271	1262	3378
272	1266	3373
273	1271	3368
274	1274	3360
275	1278	3352
276	1282	3348
277	1287	3343
278	1290	3335
279	1294	3327
280	1298	3321
281	1302	3317
282	1308	3314
283	1311	3307
284	1315	3299
285	1318	3292
286	1323	3287
287	1327	3282
288	1330	3274
289	1334	3266
290	1338	3261
291	1343	3257
292	1347	3251
293	1350	3243
294	1355	3240
295	1360	3234
296	1363	3228
297	1368	3224
298	1374	3221
299	1377	3214
300	1381	3207
301	1384	3200
302	1389	3196
303	1393	3189
304	1396	3182
305	1399	3174
306	1404	3171
307	1408	3164
308	1411	3157
309	1415	3149
310	1419	3144
311	1423	3139
312	1427	3132
313	1430	3124
314	1434	3119
315	1439	3114
316	1442	3107
317	1445	3100
318	1449	3095
319	1454	3091
320	1458	3084
321	1461	3077
322	1465	3070
323	1471	3069
324	1474	3062
325	1478	3055
326	1481	3049
327	1486	3046
328	1490	3039
329	1493	3032
330	1497	3026
331	1503	3025
332	1507	3019
333	1510	3012
334	1514	3006
335	1519	3002
336	1522	2995
337	1526	2989
338	1530	2983
339	1535	2979
340	1538	2973
341	1541	2966
342	1545	2960
343	1549	2955
344	1553	2949
345	1557	2943
346	1560	2936
347	1564	2931
348	1568	2926
349	1572	2919
350	1575	2912
351	1579	2906
352	1583	2902
353	1587	2896
354	1590	2889
355	1594	2884
356	1599	2880
357	1602	2874
358	1606	2868
359	1610	2863
360	1615	2860
361	1619	2854
362	1622	2847
363	1626	2841
364	1630	2836
365	1634	2830
366	1637	2824
367	1640	2818
368	1645	2813
369	1649	2807
370	1652	2801
371	1655	2795
372	1659	2789
373	1663	2784
374	1666	2777
375	1670	2771
376	1673	2765
377	1677	2760
378	1681	2755
379	1685	2750
380	1689	2744
381	1693	2740
382	1697	2734
383	1701	2729
384	1704	2723
385	1709	2719
386	1713	2714
387	1717	2708
388	1720	2702
389	1724	2697
390	1728	2691
391	1731	2686
392	1735	2680
393	1738	2674
394	1743	2669
395	1746	2663
396	1749	2657
397	1753	2651
398	1757	2646
399	1760	2641
400	1764	2635
401	1767	2629
402	1770	2623
403	1774	2618
404	1778	2612
405	1781	2607
406	1785	2601
407	1789	2596
408	1793	2591
409	1796	2585
410	1800	2579
411	1803	2574
412	1807	2569
413	1811	2563
414	1814	2557
415	1817	2552
416	1821	2546
417	1825	2541
418	1828	2535
419	1832	2529
420	1835	2524
421	1839	2519
422	1844	2515
423	1848	2510
424	1851	2504
425	1856	2500
426	1860	2496
427	1863	2491
428	1867	2485
429	1872	2481
430	1877	2478
431	1880	2472
432	1883	2466
433	1888	2462
434	1892	2458
435	1896	2452
436	1899	2447
437	1904	2444
438	1909	2439
439	1912	2434
440	1916	2429
441	1921	2425
442	1925	2420
443	1928	2415
444	1932	2409
445	1936	2405
446	1940	2401
447	1944	2395
448	1947	2390
449	1952	2386
450	1956	2382
451	1960	2376
452	1963	2371
453	1967	2366
454	1972	2362
455	1976	2357
456	1979	2351
457	1983	2347
458	1988	2343
459	1991	2338
460	1995	2333
461	2000	2329
462	2004	2325
463	2008	2320
464	2012	2315
